symbol,unit_cost,sell_price,shares,currency,market
HIMS,22.60,23.13,160,USD,US
PLTR,141.00,155.00,50,USD,US
ORCL,165.00,155.22,21,USD,US
ORCL,165.00,154.28,21,USD,US
TSEM,161.00,184.00,19,USD,US
RKLB,68.3,68.45,22,USD,US
COHR,255.00,255.50,4,USD,US
PTIR,12.41,13.59,165,USD,US
LAES,2.73,2.97,243,USD,US
LAES,2.73,2.95,857,USD,US
FLY,27.70,32.31,37,USD,US
RDW,9.32,8.93,162,USD,US
